LONG,LAT
-122.050000,40.052083
-121.948276,40.000000
-121.948276,39.947917
-121.846552,39.895833
-121.846552,39.895833
-121.846552,39.843750
-121.846552,39.843750
-121.846552,39.843750
-121.846552,39.843750
-121.744828,39.843750
-121.744828,39.791667
-121.744828,39.791667
-121.744828,39.739583
-121.744828,39.739583
-121.744828,39.687500
-121.643103,39.635417
-121.643103,39.635417
-121.643103,39.583333
-121.643103,39.531250
-121.643103,39.479167
-121.643103,39.427083
-121.643103,39.375000
-121.541379,39.322917
-121.541379,39.322917
-121.541379,39.270833
-121.541379,39.270833
-121.541379,39.218750
-121.541379,39.166667
-121.541379,39.114583
-121.541379,39.062500
-121.541379,39.010417
-121.439655,39.010417
-121.439655,38.958333
-121.439655,38.906250
-121.439655,38.854167
-121.337931,38.802083
-121.337931,38.802083
-121.337931,38.750000
-121.337931,38.697917
-121.337931,38.697917
-121.337931,38.697917
-121.337931,38.645833
-121.337931,38.645833
-121.337931,38.593750
-121.236207,38.541667
-121.236207,38.489583
-121.236207,38.489583
-121.236207,38.437500
-121.236207,38.385417
-121.236207,38.385417
-121.236207,38.385417
-121.134483,38.281250
-121.134483,38.229167
-121.134483,38.177083
-121.134483,38.177083
-121.134483,38.177083
-121.032759,38.072917
-121.032759,38.072917
-121.032759,38.020833
-121.032759,37.968750
-121.032759,37.968750
-120.931034,37.864583
-120.829310,37.760417
-120.829310,37.708333
-120.829310,37.708333
-120.829310,37.656250
-120.829310,37.604167
-120.727586,37.552083
-120.727586,37.552083
-120.727586,37.500000
-120.727586,37.447917
-120.625862,37.395833
-120.625862,37.343750
-120.625862,37.291667
-120.625862,37.239583
-120.625862,37.187500
-120.524138,37.135417
-120.524138,37.031250
-120.524138,36.979167
-120.524138,36.927083
-120.524138,36.927083
-120.524138,36.875000
-120.524138,36.875000
-120.422414,36.875000
-120.422414,36.822917
-120.422414,36.822917
-120.320690,36.770833
-120.320690,36.718750
-120.218966,36.718750
-120.218966,36.718750
-120.218966,36.666667
-120.218966,36.666667
-120.117241,36.666667
-120.117241,36.614583
-120.015517,36.510417
-119.913793,36.458333
-119.913793,36.406250
-119.913793,36.406250
-119.913793,36.354167
-119.913793,36.302083
-119.913793,36.302083
-119.812069,36.302083
-119.812069,36.250000
-119.812069,36.250000
-119.812069,36.197917
-119.710345,36.197917
-119.710345,36.197917
-119.710345,36.197917
-119.710345,36.145833
-119.710345,36.145833
-119.710345,36.145833
-119.710345,36.093750
-119.608621,36.093750
-119.608621,36.093750
-119.608621,35.989583
-119.608621,35.989583
-119.608621,35.937500
-119.608621,35.937500
-119.608621,35.937500
-119.506897,35.885417
-119.405172,35.833333
-119.405172,35.781250
-119.303448,35.729167
-119.303448,35.677083
-119.201724,35.625000
-119.100000,35.572917
-119.100000,35.520833
-119.100000,35.468750
-118.998276,35.468750
-118.998276,35.468750
-118.998276,35.468750
-118.998276,35.416667
-118.896552,35.416667
-118.896552,35.416667
-118.896552,35.416667
-118.794828,35.416667
-118.794828,35.416667
-118.794828,35.416667
-118.693103,35.364583
-118.693103,35.312500
-118.693103,35.312500
-118.693103,35.312500
-118.591379,35.260417
-118.489655,35.208333
-118.387931,35.156250
-118.184483,35.052083
-118.082759,35.000000
-118.082759,35.000000
-117.981034,35.000000
-117.777586,34.843750
-117.777586,34.843750
-117.472414,34.635417
-117.370690,34.635417
-117.370690,34.635417
-117.370690,34.583333
-117.167241,34.531250
-117.065517,34.479167
-116.963793,34.427083
-116.862069,34.427083
-116.760345,34.322917
-116.658621,34.322917
-116.556897,34.270833
-116.556897,34.270833
-116.455172,34.218750
-116.455172,34.218750
-116.353448,34.166667
-116.353448,34.166667
-116.353448,34.166667
-116.353448,34.166667
-116.251724,34.166667
-116.251724,34.114583
-116.150000,34.114583
-116.048276,34.062500
-116.048276,34.062500
-115.946552,33.958333
-115.844828,33.958333
-115.844828,33.906250
-115.844828,33.906250
-115.844828,33.906250
-115.641379,33.802083
-115.641379,33.802083
-115.539655,33.750000
-115.539655,33.750000
-115.539655,33.697917
-115.539655,33.697917
-115.539655,33.697917
-115.437931,33.697917
-115.437931,33.645833
-115.336207,33.645833
-115.336207,33.593750
-115.234483,33.541667
-115.132759,33.541667
-115.031034,33.437500
-115.031034,33.437500
-114.929310,33.385417
-114.929310,33.385417
-114.827586,33.333333
-114.827586,33.333333
-114.725862,33.333333
-114.725862,33.281250
-114.624138,33.229167
-114.522414,33.177083
-114.420690,33.125000
-114.420690,33.125000
-114.318966,33.072917
-114.217241,33.072917
-114.217241,33.020833
-114.217241,33.020833
-114.115517,33.020833
-114.013793,33.020833
-114.013793,32.968750
-113.912069,32.916667
-113.810345,32.916667
-113.810345,32.916667
-113.708621,32.916667
-113.606897,32.864583
-113.606897,32.864583
-113.505172,32.812500
-113.505172,32.812500
-113.505172,32.812500
-113.403448,32.812500
-113.301724,32.760417
-113.301724,32.760417
-113.200000,32.760417
-113.098276,32.708333
-113.098276,32.708333
-113.098276,32.708333
-113.098276,32.656250
-112.894828,32.604167
-112.691379,32.500000
-112.487931,32.447917
-112.487931,32.447917
-112.386207,32.447917
-112.284483,32.447917
-112.284483,32.395833
-112.284483,32.395833
-112.182759,32.395833
-112.081034,32.395833
-112.081034,32.395833
-111.979310,32.395833
-111.877586,32.343750
-111.877586,32.343750
-111.877586,32.343750
-111.775862,32.343750
-111.674138,32.343750
-111.674138,32.343750
-111.572414,32.343750
-111.572414,32.343750
-111.572414,32.343750
